Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesActive,Calories
1503960366,4/12/2016,13162,8.5,8.5,0,1.879999995,0.5500000119,6.059999943,0,25,13,328,728,1094,1985
1503960366,4/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.6899999976,4.710000038,0,21,19,217,776,1033,1797
1503960366,4/14/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1440,1776
1503960366,4/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,998,1745
1503960366,4/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.4099999964,5.039999962,0,36,10,221,773,1040,1863
1503960366,4/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.7799999714,2.50999999,0,38,20,164,539,761,1728
1503960366,4/18/2016,13019,8.590000153,8.590000153,0,3.25,0.6399999857,4.710000038,0,42,16,233,1149,1440,1921
1503960366,4/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,1120,2035
1503960366,4/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.4799999893,4.239999771,0,28,12,205,818,1063,1786
1503960366,4/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1076,1775
1503960366,4/22/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1440,1827
1503960366,4/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.8700000048,5.360000134,0,41,21,262,732,1056,1949
1503960366,4/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.2099999934,3.279999971,0,39,5,238,709,991,1788
1503960366,4/25/2016,15355,9.800000191,9.800000191,0,5.289999962,0.5699999928,3.940000057,0,73,14,216,814,1117,2013
1503960366,4/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.9200000167,5.539999962,0,31,23,279,833,1166,1970
1503960366,4/27/2016,18134,12.21000004,12.21000004,0,6.400000095,0.4099999964,5.409999847,0,78,11,243,1108,1440,2159
1503960366,4/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1047,1898
1503960366,4/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1086,1837
1503960366,4/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1015,1947
1503960366,5/1/2016,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1044,1820
1503960366,5/2/2016,14727,9.710000038,9.710000038,0,3.210000038,0.5699999928,5.920000076,0,41,15,277,798,1131,2004
1503960366,5/3/2016,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1144,1990
